ModifierId,ModifierType,RunOnce,NewOnly,Permanent,Repeatable,OwnerRequirementSetId,SubjectRequirementSetId,OwnerStackLimit,SubjectStackLimit
AGENDA_ALLY_OF_ENKIDU_FRIEND,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_DECLARED_FRIEND,,
AGENDA_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_FRIEND_DENOUNCED,,
AGENDA_BACKSTAB_AVERSE_FRIEND,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_DECLARED_FRIEND,,
AGENDA_BACKSTAB_AVERSE_SURPRISE_WAR,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_DECLARES_SURPRISE_WAR,,
AGENDA_BLACK_QUEEN,MODIFIER_PLAYER_DIPLOMACY_AGENDA_BLACK_QUEEN,0,0,0,0,ON_TURN_STARTED,PLAYER_IS_MAJOR_CIV_KNOWN_10_TURNS,,
AGENDA_BUSHIDO,MODIFIER_PLAYER_DIPLOMACY_AGENDA_BUSHIDO,0,0,0,0,ON_TURN_STARTED,PLAYER_IS_MAJOR_CIV_KNOWN_10_TURNS,,
AGENDA_CLEARS_BARBARIAN_CAMPS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_CLEARS_BARBARIAN_CAMPS,,
AGENDA_CONTINENT_ATTACKED,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_ATTACKED_CONTINENT,,
AGENDA_CONTINENT_PEACEFUL,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_PEACEFUL_ON_CONTINENT,,
AGENDA_DIFFERENT_GOVERNMENT,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,AGENDA_REQUIRE_PLAYER_HAS_DIFFERENT_GOVERNMENT,,
AGENDA_HAS_DESIRED_LUXURY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_DESIRED_LUXURY,,
AGENDA_HAS_NO_DESIRED_LUXURY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_NO_DESIRED_LUXURY,,
AGENDA_HIGH_AIRPOWER,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_AIRPOWER,,
AGENDA_HIGH_ATTACK_CITY_STATES,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_CITY_STATE_AGGRESSION,,
AGENDA_HIGH_CULTURE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_CULTURE,,
AGENDA_ENVIRONMENT,MODIFIER_PLAYER_DIPLOMACY_AGENDA_KAITIAKITANGA,0,0,0,0,ON_TURN_STARTED,PLAYER_IS_MAJOR_CIV_KNOWN_30_TURNS,,
AGENDA_HIGH_EXPLORATION,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_EXPLORATION,,
AGENDA_HIGH_FAITH,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_FAITH,,
AGENDA_HIGH_HAPPINESS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_HAPPINESS,,
AGENDA_HIGH_INDUSTRY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_INDUSTRY,,
AGENDA_HIGH_NUKE_LOVE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,PLAYER_HAS_NUCLEAR_FISSION_REQUIREMENT,PLAYER_HAS_HIGH_NUKE_LOVE,,
AGENDA_HIGH_POPULATION,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_POPULATION,,
AGENDA_HIGH_PROTECT_CITY_STATES,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_CITY_STATE_PROTECTION,,
AGENDA_HIGH_SCIENCE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_SCIENCE,,
AGENDA_HIGH_STANDING_ARMY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_HIGH_STANDING_ARMY,,
AGENDA_IGNORES_BARBARIAN_CAMPS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_IGNORES_BARBARIAN_CAMPS,,
AGENDA_LAST_VIKING_KING,MODIFIER_PLAYER_DIPLOMACY_AGENDA_LAST_VIKING_KING,0,0,0,0,ON_TURN_STARTED,PLAYER_IS_MAJOR_CIV_KNOWN_10_TURNS,,
AGENDA_LOW_AIRPOWER,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_LOW_AIRPOWER,,
AGENDA_LOW_CULTURE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_LOW_CULTURE,,
AGENDA_LOW_EXPLORATION,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_LOW_EXPLORATION,,
AGENDA_LOW_FAITH,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_LOW_FAITH,,
AGENDA_LOW_HAPPINESS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_LOW_HAPPINESS,,
AGENDA_LOW_INDUSTRY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_LOW_INDUSTRY,,
AGENDA_LOW_NUKE_LOVE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,PLAYER_HAS_NUCLEAR_FISSION_REQUIREMENT,PLAYER_HAS_LOW_NUKE_LOVE,,
AGENDA_LOW_POPULATION,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_LOW_POPULATION,,
AGENDA_LOW_SCIENCE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_LOW_SCIENCE,,
AGENDA_LOW_STANDING_ARMY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_LOW_STANDING_ARMY,,
AGENDA_MED_ATTACK_CITY_STATES,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_MED_CITY_STATE_AGGRESSION,,
AGENDA_MED_PROTECT_CITY_STATES,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_HAS_MED_CITY_STATE_PROTECTION,,
AGENDA_MODIFIER_COMPETING_MINORS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_COMPETING_MINORS,,
AGENDA_MODIFIER_CONQUERING_ALLYING_MINORS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_CONQUERING_ALLYING_MINORS,,
AGENDA_MODIFIER_DELIAN_COMPETING_MINORS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_COMPETING_MINORS,,
AGENDA_MODIFIER_DELIAN_NOT_COMPETING_MINORS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,,PLAYER_NOT_COMPETING_MINORS,,
