SectionId,PageId,Term
CONCEPTS,COMBAT_12,LOC_PEDIA_SEARCH_TERM_ARMIES
CONCEPTS,COMBAT_12,LOC_PEDIA_SEARCH_TERM_ARMADA
CONCEPTS,COMBAT_12,LOC_PEDIA_SEARCH_TERM_CORPS
CONCEPTS,COMBAT_12,LOC_PEDIA_SEARCH_TERM_FLEET
CONCEPTS,NUKES_1,LOC_PEDIA_SEARCH_TERM_NUCLEAR
CONCEPTS,NUKES_1,LOC_PEDIA_SEARCH_TERM_THERMONUCLEAR
CONCEPTS,ENVIRONMENTAL_EFFECTS,LOC_PEDIA_CONCEPTS_PAGE_ENVIRONMENTAL_EFFECTS_CHAPTER_FLOODS_TITLE
CONCEPTS,ENVIRONMENTAL_EFFECTS,LOC_PEDIA_CONCEPTS_PAGE_ENVIRONMENTAL_EFFECTS_CHAPTER_VOLCANOES_TITLE
CONCEPTS,ENVIRONMENTAL_EFFECTS,LOC_PEDIA_CONCEPTS_PAGE_ENVIRONMENTAL_EFFECTS_CHAPTER_GEOTHERMAL_FISSURES_TITLE
CONCEPTS,ENVIRONMENTAL_EFFECTS,LOC_PEDIA_CONCEPTS_PAGE_ENVIRONMENTAL_EFFECTS_CHAPTER_STORMS_TITLE
CONCEPTS,ENVIRONMENTAL_EFFECTS,LOC_PEDIA_CONCEPTS_PAGE_ENVIRONMENTAL_EFFECTS_CHAPTER_CLIMATE_CHANGE_TITLE
CONCEPTS,ENVIRONMENTAL_EFFECTS,LOC_PEDIA_CONCEPTS_PAGE_ENVIRONMENTAL_EFFECTS_CHAPTER_NUCLEAR_ACCIDENTS_TITLE
CONCEPTS,WORLD_CONGRESS,LOC_PEDIA_CONCEPTS_PAGE_WORLD_CONGRESS_CHAPTER_CONGRESS_TITLE
CONCEPTS,WORLD_CONGRESS,LOC_PEDIA_CONCEPTS_PAGE_WORLD_CONGRESS_CHAPTER_FAVOR_TITLE
CONCEPTS,WORLD_CONGRESS,LOC_PEDIA_CONCEPTS_PAGE_WORLD_CONGRESS_CHAPTER_RESOLUTIONS_TITLE
CONCEPTS,WORLD_CONGRESS,LOC_PEDIA_CONCEPTS_PAGE_WORLD_CONGRESS_CHAPTER_DISCUSSIONS_TITLE
CONCEPTS,WORLD_CONGRESS,LOC_PEDIA_CONCEPTS_PAGE_WORLD_CONGRESS_CHAPTER_INTERVENTIONS_TITLE
CONCEPTS,ENVIRONMENTAL_EFFECTS,LOC_PEDIA_CONCEPTS_PAGE_ENVIRONMENTAL_EFFECTS_CHAPTER_FIRES_TITLE
CONCEPTS,ENVIRONMENTAL_EFFECTS,LOC_PEDIA_CONCEPTS_PAGE_ENVIRONMENTAL_EFFECTS_CHAPTER_SHOWERS_TITLE
CONCEPTS,SECRETSOCIETIES,LOC_PEDIA_CONCEPTS_PAGE_SECRETSOCIETIES_CHAPTER_SOCIETIES_TITLE
CONCEPTS,SECRETSOCIETIES,LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME
CONCEPTS,SECRETSOCIETIES,LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME
CONCEPTS,SECRETSOCIETIES,LOC_SECRETSOCIETY_VOIDSINGERS_NAME
CONCEPTS,SECRETSOCIETIES,LOC_SECRETSOCIETY_SANGUINE_PACT_NAME
CONCEPTS,HEROES,LOC_PEDIA_CONCEPTS_PAGE_HEROES_CHAPTER_CONTENT_TITLE
CONCEPTS,HEROES,LOC_UNIT_HERO_ANANSI_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_ARTHUR_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_BEOWULF_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_HERCULES_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_HIMIKO_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_HIPPOLYTA_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_HUNAHPU_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_OYA_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_MAUI_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_MULAN_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_SINBAD_NAME
CONCEPTS,HEROES,LOC_UNIT_HERO_WUKONG_NAME
UNITS,UNIT_HERO_ANANSI,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_ARTHUR,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_BEOWULF,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_HERCULES,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_HIMIKO,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_HIPPOLYTA,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_HUNAHPU,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_OYA,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_MAUI,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_MULAN,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_SINBAD,LOC_HERO_CLASS_NAME
UNITS,UNIT_HERO_WUKONG,LOC_HERO_CLASS_NAME
