DistrictType,ModifierId
DISTRICT_ACROPOLIS,CIVIC_AWARD_ONE_INFLUENCE_TOKEN
DISTRICT_ROYAL_NAVY_DOCKYARD,ROYAL_NAVY_DOCKYARD_GRANT_MOVEMENT_BONUS
DISTRICT_ROYAL_NAVY_DOCKYARD,ROYAL_NAVY_DOCKYARD_GOLD_FROM_FOREIGN_CONTINENT
DISTRICT_MBANZA,MBANZA_FOOD
DISTRICT_MBANZA,MBANZA_GOLD
DISTRICT_IKANDA,IKANDA_TRAINED_CORPS_ARMY_DISCOUNT
DISTRICT_ROYAL_NAVY_DOCKYARD,ROYAL_NAVY_DOCKYARD_IDENTITY_PER_TURN_MODIFIER
DISTRICT_GOVERNMENT,GOVERNMENT_IDENTITY_PER_TURN_MODIFIER
DISTRICT_AQUEDUCT,AQUEDUCT_ADDAMENITIES
DISTRICT_BATH,BATH_ADDAMENITIES
DISTRICT_COTHON,COTHON_HEALFRIENDLY
DISTRICT_COTHON,COTHON_NAVAL_UNIT_PRODUCTION
DISTRICT_COTHON,COTHON_SETTLER_PRODUCTION
DISTRICT_SUGUBA,SUGUBA_CHEAPER_BUILDING_PURCHASE
DISTRICT_SUGUBA,SUGUBA_CHEAPER_DISTRICT_PURCHASE
DISTRICT_SUGUBA,SUGUBA_CHEAPER_UNIT_PURCHASE
DISTRICT_OPPIDUM,OPPIDUM_GRANT_TECH_APPRENTICESHIP
DISTRICT_THANH,THANH_TOURISM_CULTURE
DISTRICT_DIPLOMATIC_QUARTER,DIPLOMATIC_QUARTER_ESPIONAGE_BONUS
DISTRICT_DIPLOMATIC_QUARTER,DIPLOMATIC_QUARTER_AWARD_ONE_INFLUENCE_TOKEN
DISTRICT_DIPLOMATIC_QUARTER,DIPLOMATIC_QUARTER_DELEGATION_FAVOR
DISTRICT_DIPLOMATIC_QUARTER,DIPLOMATIC_QUARTER_EMBASSY_FAVOR
