TribeNameType,TribeType,NumMilitary,NumScouts,PercentRangedUnits,TurnsToWarriorSpawn,TribeDisplayName,ScoutingBehaviorTree,RaidingBehaviorTree,RaidingBoldness
BARBARIAN_CLAN_MELEE_OPEN_1,TRIBE_CLAN_MELEE_OPEN,5,,,,LOC_BARBARIAN_CLAN_MELEE_OPEN_1,,,
BARBARIAN_CLAN_MELEE_OPEN_2,TRIBE_CLAN_MELEE_OPEN,5,,,,LOC_BARBARIAN_CLAN_MELEE_OPEN_2,,,
BARBARIAN_CLAN_MELEE_OPEN_3,TRIBE_CLAN_MELEE_OPEN,5,,,,LOC_BARBARIAN_CLAN_MELEE_OPEN_3,,,
BARBARIAN_CLAN_MELEE_OPEN_4,TRIBE_CLAN_MELEE_OPEN,5,,,,LOC_BARBARIAN_CLAN_MELEE_OPEN_4,,,
BARBARIAN_CLAN_MELEE_OPEN_5,TRIBE_CLAN_MELEE_OPEN,5,,,,LOC_BARBARIAN_CLAN_MELEE_OPEN_5,,,
BARBARIAN_CLAN_MELEE_OPEN_6,TRIBE_CLAN_MELEE_OPEN,5,,,,LOC_BARBARIAN_CLAN_MELEE_OPEN_6,,,
BARBARIAN_CLAN_MELEE_FOREST_1,TRIBE_CLAN_MELEE_FOREST,5,,,,LOC_BARBARIAN_CLAN_MELEE_FOREST_1,,,
BARBARIAN_CLAN_MELEE_FOREST_2,TRIBE_CLAN_MELEE_FOREST,5,,,,LOC_BARBARIAN_CLAN_MELEE_FOREST_2,,,
BARBARIAN_CLAN_MELEE_FOREST_3,TRIBE_CLAN_MELEE_FOREST,5,,,,LOC_BARBARIAN_CLAN_MELEE_FOREST_3,,,
BARBARIAN_CLAN_MELEE_FOREST_4,TRIBE_CLAN_MELEE_FOREST,5,,,,LOC_BARBARIAN_CLAN_MELEE_FOREST_4,,,
BARBARIAN_CLAN_MELEE_FOREST_5,TRIBE_CLAN_MELEE_FOREST,5,,,,LOC_BARBARIAN_CLAN_MELEE_FOREST_5,,,
BARBARIAN_CLAN_MELEE_FOREST_6,TRIBE_CLAN_MELEE_FOREST,5,,,,LOC_BARBARIAN_CLAN_MELEE_FOREST_6,,,
BARBARIAN_CLAN_MELEE_HILLS_1,TRIBE_CLAN_MELEE_HILLS,5,,,,LOC_BARBARIAN_CLAN_MELEE_HILLS_1,,,
BARBARIAN_CLAN_MELEE_HILLS_2,TRIBE_CLAN_MELEE_HILLS,5,,,,LOC_BARBARIAN_CLAN_MELEE_HILLS_2,,,
BARBARIAN_CLAN_MELEE_HILLS_3,TRIBE_CLAN_MELEE_HILLS,5,,,,LOC_BARBARIAN_CLAN_MELEE_HILLS_3,,,
BARBARIAN_CLAN_MELEE_HILLS_4,TRIBE_CLAN_MELEE_HILLS,5,,,,LOC_BARBARIAN_CLAN_MELEE_HILLS_4,,,
BARBARIAN_CLAN_MELEE_HILLS_5,TRIBE_CLAN_MELEE_HILLS,5,,,,LOC_BARBARIAN_CLAN_MELEE_HILLS_5,,,
BARBARIAN_CLAN_MELEE_HILLS_6,TRIBE_CLAN_MELEE_HILLS,5,,,,LOC_BARBARIAN_CLAN_MELEE_HILLS_6,,,
BARBARIAN_CLAN_CAVALRY_OPEN_1,TRIBE_CLAN_CAVALRY_OPEN,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_OPEN_1,,,
BARBARIAN_CLAN_CAVALRY_OPEN_2,TRIBE_CLAN_CAVALRY_OPEN,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_OPEN_2,,,
BARBARIAN_CLAN_CAVALRY_OPEN_3,TRIBE_CLAN_CAVALRY_OPEN,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_OPEN_3,,,
BARBARIAN_CLAN_CAVALRY_OPEN_4,TRIBE_CLAN_CAVALRY_OPEN,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_OPEN_4,,,
BARBARIAN_CLAN_CAVALRY_OPEN_5,TRIBE_CLAN_CAVALRY_OPEN,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_OPEN_5,,,
BARBARIAN_CLAN_CAVALRY_OPEN_6,TRIBE_CLAN_CAVALRY_OPEN,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_OPEN_6,,,
BARBARIAN_CLAN_CAVALRY_JUNGLE_1,TRIBE_CLAN_CAVALRY_JUNGLE,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_JUNGLE_1,,,
BARBARIAN_CLAN_CAVALRY_JUNGLE_2,TRIBE_CLAN_CAVALRY_JUNGLE,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_JUNGLE_2,,,
BARBARIAN_CLAN_CAVALRY_JUNGLE_3,TRIBE_CLAN_CAVALRY_JUNGLE,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_JUNGLE_3,,,
BARBARIAN_CLAN_CAVALRY_JUNGLE_4,TRIBE_CLAN_CAVALRY_JUNGLE,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_JUNGLE_4,,,
BARBARIAN_CLAN_CAVALRY_JUNGLE_5,TRIBE_CLAN_CAVALRY_JUNGLE,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_JUNGLE_5,,,
BARBARIAN_CLAN_CAVALRY_JUNGLE_6,TRIBE_CLAN_CAVALRY_JUNGLE,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_JUNGLE_6,,,
BARBARIAN_CLAN_CAVALRY_CHARIOT_1,TRIBE_CLAN_CAVALRY_CHARIOT,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_CHARIOT_1,,,
BARBARIAN_CLAN_CAVALRY_CHARIOT_2,TRIBE_CLAN_CAVALRY_CHARIOT,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_CHARIOT_2,,,
BARBARIAN_CLAN_CAVALRY_CHARIOT_3,TRIBE_CLAN_CAVALRY_CHARIOT,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_CHARIOT_3,,,
BARBARIAN_CLAN_CAVALRY_CHARIOT_4,TRIBE_CLAN_CAVALRY_CHARIOT,5,,,,LOC_BARBARIAN_CLAN_CAVALRY_CHARIOT_4,,,
