TreeName
Simple City Tree
Build Trigger Unit
Build Trigger Building
Build Trigger Improvement
Seek Target Wonder
Simple Operation Attack
Early City Assault
Escort Worker To Camp
Settle City Op
Siege City Assault
Simple City Defense
Upgrade Units
Manage Great Person
Build City Building
Build City District
Build City Improvement
Barbarian Found City
Raid City
Barbarian City Attack
Manage Spy
Manage Archaeologist
Research Trigger Tech
Launch Inquisition
Nuclear Assault
Reinforce Ally
Naval Superiority Tree
Free Cities Assault
Civ Royale Behavior
Use Soothsayer
Build Railroad
