TraitType,YieldChangeId
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,District_Science
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,District_Faith
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,District_Gold
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,District_Culture
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,District_Production
TRAIT_CIVILIZATION_AMAZON,Jungle_Science
TRAIT_LEADER_LITHUANIAN_UNION,District_Faith
TRAIT_CIVILIZATION_GAUL,District_Science
TRAIT_CIVILIZATION_GAUL,District_Faith
TRAIT_CIVILIZATION_GAUL,District_Gold
TRAIT_CIVILIZATION_GAUL,District_Culture
TRAIT_CIVILIZATION_GAUL,District_Production
